"Column1","Site","Period","BoneID","IsotopeSampleNumber","Species","Side","dP2","dP3","dP4","P2","P3","P4","M1","M2","M3","Zeder_Group","Payne.Group"
243,"Smilčić","EN","SMI.D.M5.54.412","","OC","L",5,12,12,NA,NA,NA,NA,NA,NA,"II","B"
244,"Smilčić","EN","SMI.D.M5.54.413","","OC","L",14,18,19,NA,NA,NA,NA,NA,NA,"III","C"
245,"Smilčić","EN","SMI.D.M5.54.414","","OC","R",NA,NA,NA,NA,NA,16,NA,NA,NA,"V, VI","D, E"
246,"Smilčić","EN","SMI.D.M5.54.415","","OC","R",8,10,12,NA,NA,NA,5,NA,NA,"II","B"
247,"Smilčić","EN","SMI.D.M5.54.416","","OA","R",NA,19,19,NA,NA,NA,7,NA,NA,"II","B"
248,"Smilčić","EN","SMI.D.M5.54.417","","CA","R",NA,17,19,NA,NA,NA,10,4,NA,"III","C"
249,"Smilčić","EN","SMI.D.M5.54.418","","OC","L",NA,NA,1,NA,NA,NA,16,11,NA,"IV","D"
273,"Smilčić","EN","SMI.D.M5/6.58.442","","OA","R",NA,16,16,NA,NA,NA,7,NA,NA,"II","B"
253,"Smilčić","EN","SMI.D.M6.58.422","","OC","R",1,1,19,NA,NA,NA,13,3,NA,"III","C"
254,"Smilčić","EN","SMI.D.M6.58.423","","OC","R",NA,22,20,NA,NA,NA,16,NA,NA,"IV","D"
255,"Smilčić","EN","SMI.D.M6.58.424","","OC","R",NA,10,1,NA,NA,NA,9,NA,NA,"II","B"
256,"Smilčić","EN","SMI.D.M6.58.425","","OA","L",NA,NA,NA,NA,NA,14,NA,NA,NA,"V","D"
257,"Smilčić","EN","SMI.D.M6.58.426","","OA","L",9,14,19,NA,NA,NA,NA,NA,NA,"II","B"
258,"Smilčić","EN","SMI.D.M6.58.427","","OC","L",NA,NA,NA,NA,NA,NA,NA,11,NA,"IV","D"
259,"Smilčić","EN","SMI.D.M6.58.428","","OC","L",12,16,12,NA,NA,NA,7,NA,NA,"II","B"
260,"Smilčić","EN","SMI.D.M6.58.429","","OC","L",NA,22,19,NA,NA,NA,13,NA,NA,"IV","D"
261,"Smilčić","EN","SMI.D.M6.58.430","","OC","L",NA,20,19,NA,NA,NA,NA,NA,NA,"IV","D"
262,"Smilčić","EN","SMI.D.M6.58.431","","OC","L",9,14,19,NA,NA,NA,5,NA,NA,"II","B"
263,"Smilčić","EN","SMI.D.M6.58.432","","OC","L",NA,22,20,NA,NA,NA,11,4,NA,"IV","D"
